Paper ID,Explanation ID,Display (modality),Display (more specific),"Explanation Focus (Input, Process, Output)",Expl. Approach,Interactivity,Interaction type,"Explanation Type (local, pairwise, top-n, global)",Model-instrinsic or Post-hoc?,Content Category,Content Code
4,4.01,hybrid,textual and visual,Output,"local explanations, (1) user or item-based; (2) feature-level; (3) textual; (4) visual; and (5) social.",no,None,local,not mentioned (mock-up),Background and complementary information,Knowledge about peers
3,3.01,textual,,Output,"feature list (""a list of k attributes of the recommended user""), reciprocal explanation, following a template",no,None,local,post-hoc,User preferences and input,Preference match
3,3.02,textual,,Output,one-sided explanation,no,None,local,post-hoc,unk,unk
8,8.01,textual,,Output,"model-agnostic, comparative, based on aspect extraction from reviews",no,None,local,post-hoc,items and their features,Feature-based domination
11,11.01,textual,SENTI-ORG,Output,tradeoff explanations with feature sentiments from product reviews and static specifications,no,None,"top-n, contrastive",model-intrinsic,items and their features,Pros and Cons
11,11.02,textual,PREF-ORG,Output,tradeoff explanations without feature sentiments from product reviews and static specifications,no,None,"top-n, contrastive",model-intrinsic,items and their features,Pros and Cons
14,14.01,textual,"AGGR: presents explanations in text format, does not assign weights to explanations, groups different instantiations of the same rule in one explanation sentence (e.g., we show one explanation that includes friends), aggregates instances of the same rule in one explanation sentence (e.g., we aggregate the friends in a number (4) and does not refer to the name of each friend), the amount of information shown is low (e.g., we present the name of only one friend), and takes into account only user preferences (and does not include high-level explanations).",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.02,textual,"GROUP: presents explanations in text format, does not assign weights to explanations, groups different instantiations of the same rule in one explanation sentence (e.g., we show one explanation that includes friends), does not aggregate instances of the same rule in one explanation sentence (e.g., all friends are listed by their names), the amount of information shown is high (e.g., we present 5 similar friends), and takes into account only user preferences.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.03,textual,"WGT: presents explanations in text format, does assign weights to explanations, does not group different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is low, and takes into account both user preferences and high-level metadata.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.04,textual,"PLAIN: presents explanations in text format, does not assign weights to explanations, does not group different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is low, and takes into account both user preferences and high-level metadata",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.05,textual,"NO-GR: presents explanations in text format, does not assign weights to explanations, does not group different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is medium, and takes into account only user preferences.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.06,textual,"MED-IN: presents explanations in text format, does not assign weights to explanations, groups different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is medium, and takes into account only user preferences.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.07,textual,"LOW-IN: presents explanations in text format, does not assign weights to explanations, does groups different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is low, and takes into account only user preferences.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.08,textual,"RULE: presents explanations in text, rule-based format, does not assign weights to explanations, does not group different instantiations of the same rule, does not aggregate instances of the same rule, the amount of information shown is low, and takes into account both user preferences and high-level metadata (e.g., user similarity).",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.09,visual,"COL: presents explanations in visual format, in the form of columns and pathways like TasteWeights.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.10,visual,"CPR: presents explanations in visual format, in the form of columns and pathways with reasoning.",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.11,visual,"Venn: presents explanations in visual format, in the form of Venn diagrams like [5].",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.12,visual,"CC: presents explanations in visual format, in the form of concentric circles like [2, 4]",Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.13,textual,social explanation,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.14,textual,content-based,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.15,textual,user-based,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.16,textual,item-based,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.17,textual,item average rating,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
14,14.18,textual,user average rating,Output,rule-based,no,none,local,post-hoc,Background and complementary information,Knowledge about peers
15,15.01,textual,PSIE explanation,Output,"User-centric explanations. Explanations from canned text segments within a predefined ruled-based explanation model (decision tree). Fine-grained text segments of sub-sentence resolution and direct user addressing and word variances for a more personal and affective style of explanations.

positive explanations, that merely need to inform the user that the presented recommendation is one s/he may like, pointing out additional group benefits. And negative explanations, that need to back up a recommendation the user may dislike but which might be highly appreciated by the group as a whole.",no,none,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about peers + Suitability estimate
15,15.02,textual,personality explanation,Output,,no,none,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about peers + Suitability estimate
15,15.03,textual,tie strength explanation,Output,,no,none,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about peers + Suitability estimate
15,15.04,textual,satisfaction explanation,Output,,no,none,local,model-intrinsic,Background and complementary information,Knowledge about peers
15,15.05,textual,individual explanation,Output,,no,none,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about peers + Suitability estimate
15,15.06,visual,graph-like network of friends group and their preferences,Output,social graph presenting the concrete computed measures for the different factors involved in the group recommendation. User-centric explanations,no,none,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about peers + Suitability estimate
15,15.07,visual,simple graph with nodes equally connected with predicted rating of user below each node,Output,"no social elements in graph, explanation purely predicted rating",no,none,local,model-intrinsic,User preferences and input,Suitability estimate
22,22.01,visual,"heatmap, keywords highlighted in description",Output,"layer-wise relevance propagation, keywords extracted from the video title and description as well as key patches retrieved from the video cover image as explanations to the recommended tag",no,none,local,post-hoc,User preferences and input,Decisive input values
28,28.01,textual,,Output,conversations generated from movie review conversations,yes,response to conversational explanation,local,post-hoc,Background and complementary information,Background data
28,28.02,textual,movie-feature template (baseline),Output,"Movie-Feature templates use attributes such as director, cast, genre, etc. comprising twenty-four templates in six subcategories.",yes,response to conversational explanation,local,post-hoc,Background and complementary information,Background data
30,30.01,textual,,Output,"based on parameters and feature categories. ""We applied a BKT model for our quiz recommender system and developed an explanation generator using BKT parameters guess (giving a correct answer despite not knowing the skill) and slip (knowing a skill, but giving a wrong answer) for the quiz BKT recommendation system""",no,none,local,model-intrinsic,Decision inference process,Inference trace
33,33.01,hybrid,textual and visual: bar chart with text describing similar song,Input and Output,"information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song and the source song on which the recommendation is based.",yes,hide explanation,local,post-hoc,Decision inference process,Inference and domain knowledge
33,33.02,hybrid,textual and visual: bar chart with text describing similar song,Input and Output,"information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song and the source song on which the recommendation is based.",yes,explanation on-demand,local,post-hoc,Decision inference process,Inference and domain knowledge
33,33.03,hybrid,"textual and visual: radial progress bar describing the goodness of fit of the recommended song, icon of the similar song and text description of both",Output,"The fit between the song and the preference of the user. Information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song.",yes,show/hide explanation,local,post-hoc,User preferences and input,Preference match
33,33.04,hybrid,textual and visual: bar chart of audio feature similarity and text explanation as similar song,Input and Output,"information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song and the source song on which the recommendation is based.",yes,show/hide explanation,local,post-hoc,Decision inference process,Inference and domain knowledge
33,33.05,visual,bar chart  of audio feature similarity between recommendation and personal preference,Input and Output,"information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song",yes,show/hide explanation,local,post-hoc,items and their features,Decisive features
33,33.06,hybrid,"textual and visual: bar chart  of audio feature similarity between recommendation and personal preference, radial progress bar describing the goodness of fit of the recommendation along with textual explanation of radial progress icon and mention of a similar song",Input and Output,"information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song. The fit between the song and the preference of the user. Information sources to explain the recommendations: the audio features the user requested, and the audio features of the recommended song.",yes,show/hide explanation,local,post-hoc,Decision inference process + User preferences and input,Inference and domain knowledge + Preference match
40,40.01,textual,,Output,"feature-based (comparison of health-factors between recipes, and whether recommendation fully or partly meets user constraints)",no,none,local and top-n,unclear,items and their features,Feature-based domination
41,41.01,textual,,Output,"mock-explanations (fact-based, contrastive)",no,none,local,not mentioned,User preferences and input,Decisive input values
42,42.01,hybrid,textual and visual: histogram,Output,"explanation design derived from think-aloud study. ""a why-statement which indicates that the exercise was recommended based on both the student's level of mastery and the exercise's difficulty"" followed by ""a justification-statement with the student's estimated number of tries needed to solve the exercise"" followed by ""a histogram of how many tries similar students required for the exercise""",no,none,local,model-intrinsic,Decision inference process,Inference and domain knowledge
42,42.02,textual,placebo explanation,Output,conveys no information about how our recommendation algorithm works,no,none,local,-,Baseline*,Information that recommendation was algorithmically determined
43,43.01,hybrid,textual and visual: list of rated movies along with features that the movie fulfills. Emoji for sentiment of the feature extracted from reviews (r-by-e),Output,"for each candidate item, the system constructs and scores an explanation, a chain of items from the user’s profile, referred to as an explanation chain, based on overlap between the representations of items in the chain",yes,display of features that movie has in common with recommendation on mouse over,local,model-intrinsic,Decision inference process + User preferences and input,Inference and domain knowledge + Preference match
43,43.02,hybrid,textual and visual: list of rated movies along with features that the movie fulfills. Emoji for sentiment of the feature extracted from reviews (CB-|C|),Output,"CB-|C|’s explanations (sets of neighbours, rather than chains), on the other hand, were displayed in the fashion shown in Figure 9: arrows connect each movie to the recommended movie.",yes,display of features that movie has in common with recommendation on mouse over,local,model-intrinsic,Background and complementary information + Decision inference process + User preferences and input,Knowledge about similar items + Inference and domain knowledge + Preference match
45,45.01,hybrid,textual and visual: Lime-like bar graph depicting the contribution of the features,Output,"model agnostic, feature attribution, positive framing",no,none,local,post-hoc,items and their features + Decision inference process,Decisive features + Self-reflective statistics
45,45.02,hybrid,textual and visual: Lime-like bar graph depicting the contribution of the features,Output,"model agnostic, feature attribution, positive framing + semantic labelling (how much contributes feature to decision)",no,none,local,post-hoc,items and their features + Decision inference process,Decisive features + Self-reflective statistics
45,45.03,hybrid,textual and visual: Lime-like bar graph depicting the contribution of the features,Output,baseline: alignment as in LIME/Shap,no,none,local,post-hoc,items and their features + Decision inference process,Decisive features + Self-reflective statistics
49,49.01,audio,"vocal, pairwise",Output,"based on template and extracted sentence from review:
<pairwise_explanation>::=<products_pair>. A reviewer said the following about the first product⟨review_sentence_A⟩ while the second product received the following comment⟨review_sentence_B⟩.
⟨products_pair⟩::= I found two products. The first is <product_title_A>. It's <price_A>. With delivery in <delivery_A> days. The second product is <product_title_B>. It's <price_B>. With delivery in <delivery_B> days.",no,none,pairwise,post-hoc,items and their features + Background and complementary information,Feature-based domination + Background data
49,49.02,audio,"vocal, pointwise",Output,we extract a ⟨review_sentence⟩ from the review of the recommended product that received the highest number of helpful votes and use it to fill in the following template: ⟨pointwise_explanation⟩ ::= ⟨baseline⟩. A reviewer said that ⟨review_sentence⟩,no,none,local,post-hoc,items and their features + Background and complementary information,Decisive features + Background data
49,49.03,audio,"vocal, baseline",Output,"The information disclosed about the recommended product is the product title, the price and delivery date.",no,none,local?,post-hoc,items and their features,Decisive features
