Paper ID,Hypothesis ID,Hypothesis,Dependent Variable,Sub-Sub-Category,Sub-Category,Main DV Category,Effect On,subj/obj evaluation,Independent Variable (evaluated),Independent Variables (compared),Comparison Type,Result,Explanation ID Evaluated,Explanation ID Compared,Related user study ID,"Explanation Modalities evaluated (display, focus, interactivity, explanation type)","Explanation Generation Evaluated (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)","Explanation Modalities Compared (display, focus, interactivity, explanation type)","Explanation Generation Compared (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)"
4,4.001,ARSAA assisted shopping using explainable recommendations is perceived as more trustworthy compared to ARSAA assisted shopping not using explainable recommendations.,perceived system trustworthiness,trust in system,cognitive trust,trust,user,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,not found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.002,ARSAA assisted shopping using explainable recommendations is superior in terms of perceived shopping experience and purchase intention compared to ARSAA assisted shopping not using explainable recommendations.,perceived shopping experience,User experience,Other,Interface Quality,system,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.011,,self-reported purchase intention,-,likelihood to follow recommendation,persuasiveness,user,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.003,,perceived informativeness,usefulness of information,information quality,Interface Quality,system,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.004,,entertainment,ease of use (subjective),other,Interface Quality,system,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,not found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.005,,irritation,negative perception (subjective),other,Interface Quality,system,subj,ARSAA assisted shopping using explainable recommendations,ARSAA assisted shopping not using explainable recommendations,no explanation,not found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.006,XRSAA assisted brick-and-mortar shopping is perceived as more useful than unassisted brick-and-mortar shopping.,system usefulness,system usefulness (subjective),other,Interface Quality,system,subj,XRSAA assisted shopping using explainable recommendations,unassisted shopping,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.007,XRSAA assisted brick-and-mortar shopping is perceived as more informative than unassisted brick-and-mortar shopping.,perceived informativeness,usefulness of information,information quality,Interface Quality,system,subj,XRSAA assisted shopping using explainable recommendations,unassisted shopping,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.008,XRSAA assisted brick-and-mortar shopping is perceived as more entertaining than unassisted brick-and-mortar shopping.,entertainment,satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,XRSAA assisted shopping using explainable recommendations,unassisted shopping,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
4,4.009,XRSAA assisted brick-and-mortar shopping is perceived as more irritating than unassisted brick-and-mortar shopping.,irritation,negative perception (subjective),other,Interface Quality,system,subj,XRSAA assisted shopping using explainable recommendations,unassisted shopping,no explanation,found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
